year,crop,rep,wincrop,farm,lem_rate,yield_kg_m2
2024,bean,1,Clover,bcbf,3.6,1.62696576
2024,bean,1,Kale,bcbf,3.6,1.706618731
2024,bean,1,Clover,bcbf,0,1.873459415
2024,bean,1,Carrots,bcbf,1.8,1.80941412
2024,bean,1,Kale,bcbf,1.8,1.116756187
2024,bean,1,Clover,bcbf,3.6,0.026371592
2024,bean,1,Carrots,bcbf,0,0.193750471
2024,bean,1,Carrots,bcbf,3.6,1.268527389
2024,bean,1,Kale,bcbf,0,1.034412236
2024,bean,2,Carrots,bcbf,0,1.349256752
2024,bean,2,Clover,bcbf,3.6,1.757209132
2024,bean,2,Kale,bcbf,1.8,2.267418706
2024,bean,2,Clover,bcbf,0,1.581757317
2024,bean,2,Kale,bcbf,3.6,1.173804936
2024,bean,2,Clover,bcbf,1.8,1.048943522
2024,bean,2,Carrots,bcbf,3.6,1.021495538
2024,bean,2,Kale,bcbf,0,1.730299344
2024,bean,2,Carrots,bcbf,1.8,1.381548497
2024,bean,3,Kale,bcbf,3.6,1.171113958
2024,bean,3,Carrots,bcbf,1.8,1.658181114
2024,bean,3,Clover,bcbf,0,1.400923544
2024,bean,3,Kale,bcbf,1.8,1.033335845
2024,bean,3,Carrots,bcbf,0,0.699654478
2024,bean,3,Clover,bcbf,3.6,0.517206118
2024,bean,3,Kale,bcbf,0,0.766390752
2024,bean,3,Clover,bcbf,1.8,1.656566526
2024,bean,3,Carrots,bcbf,3.6,0.875106294
2024,bean,4,Clover,bcbf,1.8,1.10868325
2024,bean,4,Kale,bcbf,0,0.765852556
2024,bean,4,Carrots,bcbf,1.8,1.221166163
2024,bean,4,Kale,bcbf,3.6,1.232468273
2024,bean,4,Clover,bcbf,0,0.999429513
2024,bean,4,Carrots,bcbf,3.6,0.323993843
2024,bean,4,Kale,bcbf,1.8,0.578560434
2024,bean,4,Clover,bcbf,3.6,0.708803806
2024,bean,4,Carrots,bcbf,0,0.683508606
2024,bean,1,Clover,hort,3.6,1.392312412
2024,bean,1,Kale,hort,3.6,0.046634662
2024,bean,1,Clover,hort,0,1.571800695
2024,bean,1,Carrots,hort,1.8,2.093581477
2024,bean,1,Kale,hort,1.8,1.723033702
2024,bean,1,Clover,hort,3.6,0.314306319
2024,bean,1,Carrots,hort,0,2.84086628
2024,bean,1,Carrots,hort,3.6,0.41306524
2024,bean,1,Kale,hort,0,1.969527356
2024,bean,2,Carrots,hort,0,1.207980367
2024,bean,2,Clover,hort,3.6,0.089340495
2024,bean,2,Kale,hort,1.8,0.449662551
2024,bean,2,Clover,hort,0,1.33176539
2024,bean,2,Kale,hort,3.6,0.138585406
2024,bean,2,Clover,hort,1.8,0.627805345
2024,bean,2,Carrots,hort,3.6,0.431094798
2024,bean,2,Kale,hort,0,2.447176087
2024,bean,2,Carrots,hort,1.8,1.087962714
2024,bean,3,Kale,hort,3.6,0.207205365
2024,bean,3,Carrots,hort,1.8,0.177604598
2024,bean,3,Clover,hort,0,0.450200747
2024,bean,3,Kale,hort,1.8,0.303004209
2024,bean,3,Carrots,hort,0,0.619732409
2024,bean,3,Clover,hort,3.6,0.002690979
2024,bean,3,Kale,hort,0,0.99081838
2024,bean,3,Clover,hort,1.8,0.097144333
2024,bean,3,Carrots,hort,3.6,0.148003832
2024,bean,4,Clover,hort,1.8,0.070234546
2024,bean,4,Kale,hort,0,0.400686738
2024,bean,4,Carrots,hort,1.8,0.140738189
2024,bean,4,Kale,hort,3.6,0.039557388
2024,bean,4,Clover,hort,0,0.1579621
2024,bean,4,Carrots,hort,3.6,0.032829941
2024,bean,4,Kale,hort,1.8,0.128897883
2024,bean,4,Clover,hort,3.6,0.012486141
2024,bean,4,Carrots,hort,0,0.676242963
2024,bean,1,Clover,paul,3.6,1.507755401
2024,bean,1,Kale,paul,3.6,1.682938118
2024,bean,1,Clover,paul,0,1.667061344
2024,bean,1,Carrots,paul,1.8,1.290324317
2024,bean,1,Kale,paul,1.8,1.656297429
2024,bean,1,Clover,paul,3.6,1.393119705
2024,bean,1,Carrots,paul,0,1.487303962
2024,bean,1,Carrots,paul,3.6,1.190758103
2024,bean,1,Kale,paul,0,0.342023401
2024,bean,2,Carrots,paul,0,0.790839639
2024,bean,2,Clover,paul,3.6,1.394196097
2024,bean,2,Kale,paul,1.8,1.508562694
2024,bean,2,Clover,paul,0,1.765820264
2024,bean,2,Kale,paul,3.6,2.042991077
2024,bean,2,Clover,paul,1.8,1.556193019
2024,bean,2,Carrots,paul,3.6,1.446401085
2024,bean,2,Kale,paul,0,0.913049094
2024,bean,2,Carrots,paul,1.8,0.296007664
2024,bean,3,Kale,paul,3.6,0.86541877
2024,bean,3,Carrots,paul,1.8,1.347911262
2024,bean,3,Clover,paul,0,1.277676717
2024,bean,3,Kale,paul,1.8,1.379126616
2024,bean,3,Carrots,paul,0,1.247268657
2024,bean,3,Clover,paul,3.6,1.253727006
2024,bean,3,Kale,paul,0,0.983552738
2024,bean,3,Clover,paul,1.8,0.939689784
2024,bean,3,Carrots,paul,3.6,0.07346372
2024,bean,4,Clover,paul,1.8,1.093882867
2024,bean,4,Kale,paul,0,1.323154258
2024,bean,4,Carrots,paul,1.8,0.44858616
2024,bean,4,Kale,paul,3.6,1.008309742
2024,bean,4,Clover,paul,0,1.149855225
2024,bean,4,Carrots,paul,3.6,0.663326265
2024,bean,4,Kale,paul,1.8,0.368394993
2024,bean,4,Clover,paul,3.6,0.613004962
2024,bean,4,Carrots,paul,0,0.076692895
2024,carrot,1,Carrots,hort,1.8,1.547312789
2024,carrot,1,Carrots,hort,0,2.058598754
2024,carrot,1,Carrots,hort,3.6,2.596794506
2024,carrot,2,Carrots,hort,0,0.84765831
2024,carrot,2,Carrots,hort,3.6,1.87023024
2024,carrot,2,Carrots,hort,1.8,1.466583426
2024,carrot,3,Carrots,hort,1.8,1.426218744
2024,carrot,3,Carrots,hort,0,1.506948107
2024,carrot,3,Carrots,hort,3.6,1.103301293
