date,trtmt,rep,variety,plot,market_yield_kg,market_count,unmarket_yield_kg,unmarket_count,year,yday,trtname,cummyield,cummnum
7/23/2024,Con,1,1,Con101,7.7,39,3.1,14,2024,205,Con1,61.8,294
7/23/2024,Con,1,2,Con102,2.4,14,3.3,22,2024,205,Con2,87.65,381
7/23/2024,Con,2,1,Con201,7.7,36,1.15,6,2024,205,Con1,69.5,330
7/23/2024,Con,2,2,Con202,2.5,11,3.65,19,2024,205,Con2,90.15,392
7/23/2024,Con,3,1,Con301,13.1,55,3.35,16,2024,205,Con1,82.6,385
7/23/2024,Con,3,2,Con302,6.45,29,2.15,12,2024,205,Con2,96.6,421
7/23/2024,Con,4,1,Con401,7.4,39,2.35,10,2024,205,Con1,90,424
7/23/2024,Con,4,2,Con402,7.55,42,2.45,14,2024,205,Con2,104.15,463
7/23/2024,Ht,1,1,Ht101,3.1,22,2.75,27,2024,205,Ht1,27.2,171
7/23/2024,Ht,1,2,Ht102,2.9,20,5.25,45,2024,205,Ht2,63.25,386
7/23/2024,Ht,2,1,Ht201,3.1,21,2.05,26,2024,205,Ht1,30.3,192
7/23/2024,Ht,2,2,Ht202,2.6,22,0.6,11,2024,205,Ht2,65.85,408
7/23/2024,Ht,3,1,Ht301,1.65,14,3.8,49,2024,205,Ht1,31.95,206
7/23/2024,Ht,3,2,Ht302,1.35,14,1.85,20,2024,205,Ht2,67.2,422
7/23/2024,Ht,4,1,Ht401,2.35,17,1.6,16,2024,205,Ht1,34.3,223
7/23/2024,Ht,4,2,Ht402,1.9,16,3.05,31,2024,205,Ht2,69.1,438
7/23/2024,Org,1,1,Org101,0,0,2.35,36,2024,205,Org1,5,26
7/23/2024,Org,1,2,Org102,0.7,6,2.65,26,2024,205,Org2,26.4,122
7/23/2024,Org,2,1,Org201,0.15,1,4.2,44,2024,205,Org1,5.15,27
7/23/2024,Org,2,2,Org202,0,0,1.75,18,2024,205,Org2,26.4,122
7/23/2024,Org,3,1,Org301,0.75,7,3.1,42,2024,205,Org1,5.9,34
7/23/2024,Org,3,2,Org302,0.4,3,2.7,27,2024,205,Org2,26.8,125
7/23/2024,Org,4,1,Org401,0.15,1,2.25,22,2024,205,Org1,6.05,35
7/23/2024,Org,4,2,Org402,0.15,3,3.6,36,2024,205,Org2,26.95,128
